nombre,puntos,tiempo,movimiento
Ana Gómez,78,120,43
Luis Fernández,56,98,39
Carla Ruiz,90,150,58
Pedro Martínez,45,110,28
Lucía Navarro,100,200,55
Marta Ortega,67,89,36
José Romero,0,60,41
Elena Vargas,34,70,47
Tomás Herrera,82,140,53
Sara Molina,23,55,30
Diego Castro,59,130,59
Noelia Paredes,0,40,29
Mario Delgado,87,170,52
Patricia León,32,65,26
Iván Peña,44,95,38
Raquel Ramos,73,125,46
Alberto Salinas,61,105,35
Carmen Cordero,50,85,24
David Lozano,99,190,57
Sandra Fuentes,0,30,21
Hugo Barrera,28,60,48
Isabel Cabrera,96,160,54
Manuel Espinoza,40,75,33
Teresa Aguirre,77,145,45
Andrés Valverde,15,50,22
